country,years,role,level,mode,value
Finland,10.0,Scientist,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
Canada,10.0,None of these describe my role,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",3
USA,3.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus","General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
USA,5.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus","General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Data Studio, QuickSight",7
United Kingdom,9.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",5
Germany,4.0,Scientist,"Data visualization is an important secondary part of my job, but not the focus","Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",5
USA,8.0,"Leadership (Manager, Director, VP, etc)",Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
France,5.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts)",6
USA,3.0,"Leadership (Manager, Director, VP, etc)","Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
Singapore,5.0,"Leadership (Manager, Director, VP, etc)","Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted with pen & paper or other physical means",5
Not specified,25.0,Scientist,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
Not specified,10.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus",,
Canada,10.0,Academic,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
USA,20.0,Developer,Data visualization is the focus of my job,"General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",6
Not specified,,Developer,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",1
USA,4.0,Engineer,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
USA,5.0,"Leadership (Manager, Director, VP, etc)","Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4
Scotland,3.0,None of these describe my role,Data visualization is the focus of my job,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",4
India,4.0,"Leadership (Manager, Director, VP, etc)","Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4
USA,8.0,None of these describe my role,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","General purpose charting libraries (plotly, highcharts)",5
USA,10.0,Designer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",7
USA,20.0,Developer,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Interactive Notebooks",
Not specified,,Developer,"Data visualization is an important secondary part of my job, but not the focus",Business Intelligence Tools (like Tableau),2
Taiwan,2.0,Developer,Data visualization is the focus of my job,"General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted with pen & paper or other physical means",4
Canada,10.0,None of these describe my role,Data visualization is the focus of my job,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted with pen & paper or other physical means",7
United Kingdom,2.0,"Leadership (Manager, Director, VP, etc)",Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Interactive Notebooks",7
Canada,20.0,"Leadership (Manager, Director, VP, etc)",Data visualization is the focus of my job,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted with pen & paper or other physical means",7
USA,35.0,"Leadership (Manager, Director, VP, etc)","Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
Not specified,5.0,None of these describe my role,Data visualization is the focus of my job,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",7
United Kingdom,5.0,Engineer,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts)",4
USA,5.0,Developer,"Data visualization is an important secondary part of my job, but not the focus","Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4
USA,1.0,Developer,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
USA,20.0,"Leadership (Manager, Director, VP, etc)",Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
USA,7.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel, of course! ",6
USA,7.0,Academic,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Hand-crafted with pen & paper or other physical means",4
USA,1.0,Designer,Data visualization is the focus of my job,"Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",5
